circuito_Id,circuit_Ref,nome,cidade,país,latitude,longitude,alt,url
28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,,http://en.wikipedia.org/wiki/TI_Circuit
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349.272,138.617,,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,kyalami,Kyalami,Midrand,South Africa,-259.894,280.767,,http://en.wikipedia.org/wiki/Kyalami
31,donington,Donington Park,Castle Donington,UK,528.306,-137.528,,http://en.wikipedia.org/wiki/Donington_Park
32,rodriguez,Autódromo Hermanos RodrÌ_guez,Mexico City,Mexico,194.042,-990.907,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,phoenix,Phoenix street circuit,Phoenix,USA,334.479,-112.075,,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,ricard,Circuit Paul Ricard,Le Castellet,France,432.506,579.167,,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,yeongam,Korean International Circuit,Yeongam County,Korea,347.333,126.417,,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-229.756,-43.395,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,detroit,Detroit Street Circuit,Detroit,USA,423.298,-830.401,,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,brands_hatch,Brands Hatch,Kent,UK,513.569,263.056,,http://en.wikipedia.org/wiki/Brands_Hatch
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,523.888,454.092,,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,zolder,Zolder,Heusden-Zolder,Belgium,509.894,525.694,,http://en.wikipedia.org/wiki/Zolder
41,dijon,Dijon-Prenois,Dijon,France,473.625,489.913,,http://en.wikipedia.org/wiki/Dijon-Prenois
42,dallas,Fair Park,Dallas,USA,327.774,-967.587,,http://en.wikipedia.org/wiki/Fair_Park
43,long_beach,Long Beach,California,USA,337.651,-118.189,,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,361.162,-115.174,,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
45,jarama,Jarama,Madrid,Spain,406.171,-358.558,,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,watkins_glen,Watkins Glen,New York State,USA,423.369,-769.272,,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,572.653,136.042,,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,mosport,Mosport International Raceway,Ontario,Canada,440.481,-786.756,,http://en.wikipedia.org/wiki/Mosport
49,montjuic,MontjuÌøc,Barcelona,Spain,413.664,215.167,,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,nivelles,Nivelles-Baulers,Brussels,Belgium,506.211,432.694,,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,charade,Charade Circuit,Clermont-Ferrand,France,457.472,303.889,,http://en.wikipedia.org/wiki/Charade_Circuit
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,461.877,-746.099,,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,essarts,Rouen-Les-Essarts,Rouen,France,493.306,100.458,,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,lemans,Le Mans,Le Mans,France,47.95,224.231,,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,reims,Reims-Gueux,Reims,France,492.542,393.083,,http://en.wikipedia.org/wiki/Reims-Gueux
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-330.486,278.736,,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,zeltweg,Zeltweg,Styria,Austria,472.039,147.478,,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,aintree,Aintree,Liverpool,UK,534.769,-294.056,,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,boavista,Circuito da Boavista,Oporto,Portugal,411.705,-867.325,,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,avus,AVUS,Berlin,Germany,524.806,132.514,,http://en.wikipedia.org/wiki/AVUS
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,387.197,-920.306,,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,sebring,Sebring International Raceway,Florida,USA,274.547,-813.483,,http://en.wikipedia.org/wiki/Sebring_Raceway
64,ain-diab,Ain Diab,Casablanca,Morocco,335.786,-76.875,,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,pescara,Pescara Circuit,Pescara,Italy,42.475,141.508,,http://en.wikipedia.org/wiki/Pescara_Circuit
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,469.589,740.194,,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,413.903,211.667,,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,buddh,Buddh International Circuit,Uttar Pradesh,India,283.487,775.331,,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,americas,Circuit of the Americas,Austin,USA,301.328,-976.411,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,Red Bull Ring,Spielburg,Austria,472.197,147.647,,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,Sochi Autodrom,Sochi,Russia,434.057,399.578,,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,407.769,-740.111,,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,BAK,Baku City Circuit,Baku,Azerbaijan,403.725,498.533,,http://en.wikipedia.org/wiki/Baku_City_Circuit
